Standort;LSA-Nr.;Baulastträger;Bezirk;X;Y
Bergisch Gladbacher Straße / BAB3 West;9908;Stadt Köln;Mülheim;23.616.414,1;56.479.333,6
Bergisch Gladbacher Straße / Biesfelder Straße;9921;Stadt Köln;Mülheim;23.648.571,5;56.493.890,9
Bergisch Gladbacher Straße / Carlswerkstraße;9903;Stadt Köln;Mülheim;23.607.883,7;56.476.846,2
Bergisch Gladbacher Straße / Clevischer Ring;9130;Stadt Köln;Mülheim;23.599.386,7;56.477.023,0
Bergisch Gladbacher Straße / Dellbrücker Hauptstraße;9920;Stadt Köln;Mülheim;23.645.493,5;56.492.265,2
Bergisch Gladbacher Straße / Dellbrücker Mauspfad / Kaserne;9918;Stadt Köln;Mülheim;23.639.581,0;56.489.093,9
Bergisch Gladbacher Straße / Feuerwache / Wichheimer Straße;9905;Stadt Köln;Mülheim;23.610.251,7;56.477.548,3
Bergisch Gladbacher Straße / Genovevabad / Schule;9901;Stadt Köln;Mülheim;23.602.580,0;56.475.432,0
Bergisch Gladbacher Straße / Grafenmühlenweg / Urnenstraße;9919;Stadt Köln;Mülheim;23.642.780,6;56.490.807,7
Bergisch Gladbacher Straße / Gronauer Straße;9906;Stadt Köln;Mülheim;23.614.277,0;56.478.710,0
Bergisch Gladbacher Straße / Heidestraße / Hagedornstraße;9917;Stadt Köln;Mülheim;23.637.609,4;56.488.052,5
Bergisch Gladbacher Straße / Herler Ring;9907;Stadt Köln;Mülheim;23.615.114,2;56.478.963,3
Bergisch Gladbacher Straße / Honschaftsstraße;9910;Stadt Köln;Mülheim;23.619.560,2;56.480.273,2
Bergisch Gladbacher Straße / Johann-Bensberg-Straße / Buschfeldstraße;9912;Stadt Köln;Mülheim;23.622.860,7;56.481.219,5
Bergisch Gladbacher Straße / Keupstraße / Montanusstraße;9902;Stadt Köln;Mülheim;23.604.555,6;56.475.861,0
Bergisch Gladbacher Straße / Maria-Himmelfahrt-Straße;9913;Stadt Köln;Mülheim;23.627.135,2;56.482.496,3
Bergisch Gladbacher Straße / Rodfeldstraße / Rodstraße;9914;Stadt Köln;Mülheim;23.630.120,2;56.484.051,8
Bergisch Gladbacher Straße / Schwabstraße;9915;Stadt Köln;Mülheim;23.632.881,4;56.485.514,4
Bergisch Gladbacher Straße / Steyler Straße;9967;Stadt Köln;Mülheim;23.620.400,3;56.480.509,2
Bergisch Gladbacher Straße / Thielenbrucher Allee;9923;Stadt Köln;Mülheim;23.657.655,0;56.495.812,4
Bergisch Gladbacher Straße / Vischeringstraße / Ringenstraße;9911;Stadt Köln;Mülheim;23.621.830,1;56.480.926,3
Bergisch Gladbacher Straße / Von-Quadt-Straße / Otto-Kayser-Straße;9922;Stadt Köln;Mülheim;23.651.220,5;56.495.303,9
Bergisch Gladbacher Straße / Wasserwerkstraße / Drosselbartstraße;9916;Stadt Köln;Mülheim;23.636.308,3;56.487.356,0
Bergisch Gladbacher Straße / Zufahrt Zollkriminalamt;9931;Stadt Köln;Mülheim;23.641.614,5;56.490.208,8
Bergischer Ring / Danzierstraße / Papageienstraße;9119;Stadt Köln;Mülheim;23.597.324,0;56.472.584,0
Bergischer Ring / Rendsburger Platz;9117;Stadt Köln;Mülheim;23.595.810,2;56.468.582,3
Bergischer Ring / Schleiermacherstraße;9118;Stadt Köln;Mülheim;23.596.107,7;56.469.500,7
Bergisch-Gladbacher Straße / Genovevastraße / Schule;9196;Stadt Köln;Mülheim;23.600.069,9;56.476.624,9
Berliner Straße / Am Emberg;9148;Stadt Köln;Mülheim;23.617.261,7;56.504.921,7
Berliner Straße / Cottbuser Straße / Neurather Weg;9144;Stadt Köln;Mülheim;23.610.361,6;56.493.225,4
Berliner Straße / Fixheider Weg;9146;Stadt Köln;Mülheim;23.613.372,5;56.496.644,9
Berliner Straße / Im Weidenbruch;9145;Stadt Köln;Mülheim;23.611.577,7;56.494.586,7
Berliner Straße / Leuchterstraße / Schweidnitzer Straße;9149;Stadt Köln;Mülheim;23.622.485,1;56.512.693,8
Berliner Straße / Odenthaler Straße / Kunstfelder Straße;9151;Stadt Köln;Mülheim;23.625.829,1;56.518.491,1
Berliner Straße / Posadowskystraße ;9147;Stadt Köln;Mülheim;23.615.401,7;56.498.902,3
Berliner Straße / Prämonstratenserstraße;9150;Stadt Köln;Mülheim;23.623.538,1;56.516.042,9
Berliner Straße / Steinkaulerstraße / Buswendeschleife;9980;Stadt Köln;Mülheim;23.606.259,1;56.489.540,0
Buchheimer Ring / B55a;9935;Stadt Köln;Mülheim;23.614.460,5;56.462.140,7
Buchheimer Ring / Schlagbaumsweg;9934;Stadt Köln;Mülheim;23.615.922,5;56.468.315,0
Buchheimer Ring / Schützengildeweg;9962;Stadt Köln;Mülheim;23.614.928,9;56.470.206,5
Burgwiesenstraße / Isenburger Kirchweg;9930;Stadt Köln;Mülheim;23.625.756,6;56.476.651,9
Clevischer Ring / Berliner Straße / Dünnwalder Straße;9133;Stadt Köln;Mülheim;23.600.533,4;56.483.144,1
Clevischer Ring / Carl-Brisch-Straße;9131;Stadt Köln;Mülheim;23.599.747,5;56.477.897,8
Clevischer Ring / Hacketäuerstraße;9983;Stadt Köln;Mülheim;23.600.523,0;56.485.804,0
Clevischer Ring / Keupstraße;9132;Stadt Köln;Mülheim;23.600.200,4;56.480.320,9
Clevischer Ring / Markgrafenstraße;9982;Stadt Köln;Mülheim;23.600.356,2;56.481.691,4
Clevischer Ring / Mülheimer Zubringer;9136;Stadt Köln;Mülheim;23.599.112,3;56.491.077,8
Clevischer Ring / Von-Sparr-Straße / Von-Lohe-Straße;9134;Stadt Köln;Mülheim;23.600.113,0;56.487.803,0
Danzierstraße / Schleiermacherstraße / Schule;9127;Stadt Köln;Mülheim;23.595.090,2;56.471.519,4
Danzierstraße / Windmühlenstraße / Karl-Theodor-Straße;9126;Stadt Köln;Mülheim;23.592.493,7;56.469.948,0
Dellbrücker Hauptstraße / Friedhof-Dellbrück / Schule;9925;Stadt Köln;Mülheim;23.648.861,3;56.485.918,4
Dellbrücker Mauspfad / Friedhof-Ost;0931;StrNRW;Mülheim;23.646.578,9;56.476.504,7
Deutz-Mülheimer Straße / Adam-Stegerwald-Straße;9121;Stadt Köln;Mülheim;23.586.930,6;56.462.579,8
Deutz-Mülheimer Straße / Auenweg;9124;Stadt Köln;Mülheim;23.589.867,1;56.467.613,4
Deutz-Mülheimer Straße / Danzierstraße;9125;Stadt Köln;Mülheim;23.591.265,4;56.470.008,0
Diepeschrather Straße / Anemonenweg;9924;Stadt Köln;Mülheim;23.644.252,1;56.495.321,5
Dünnwalder Mauspfad / Kalkweg / Am Wildpark;0970;StrNRW;Mülheim;23.629.745,6;56.508.495,7
Düsseldorfer Straße / Buschweg / Bayer-Süd;0983;StrNRW;Mülheim;23.593.298,0;56.522.438,8
Düsseldorfer Straße / Carl Duisberg Bad / Otto-Bayer-Straße;0981;StrNRW;Mülheim;23.592.199,1;56.529.852,1
Düsseldorfer Straße / Höhenhauser Ring;0986;StrNRW;Mülheim;23.596.065,9;56.504.188,8
Düsseldorfer Straße / Manforter Straße;9137;Stadt Köln;Mülheim;23.597.860,7;56.494.645,9
