Sto.-nr.;erl.Geschw. PKW;erl. Geschw. LKW;Standort1;Standort2;Standort3;
6183;30;30;6183 Dellbrück                ;Bergisch Gladbacher Str.1186  ;in Fahrtrichtung stadtauswärts     ;   
6184;30;30;6184 Dellbrück                ;Bergisch Gladbacher Str.1186  ;in Fahrtrichtung stadteinwärts     ;   
6185;30;30;6185 Neustadt-Nord            ;Theodor-Heuss-Ring 11         ;in Fahrtrichtung Ebertplatz        ;   
6186;30;30;6186 Neustadt-Nord            ;Theodor-Heuss-Ring 30         ;in Fahrtr. Konrad-Adenauer-Ufer    ;   
6187;30;30;6187 Merkenich                ;Merkenicher Hauptstraße 203   ;in Fahrtrichtung Daverkusen Straße ;   
6188;30;30;6188 Fühlingen                ;Neusser Landstraße 23a        ;in Fahrtrichtung Kriegerhof Straße ;   
6189;30;30;6189 Fühlingen                ;Neusser Landstraße 23a        ;in Fahrtrichtung Feldblumenweg     ;   
6190;50;50;6190 Feldkassel               ;Robert-Bosch-Straße 6         ;in Fahrtrichtung Rheinkassel       ;   
6191;50;50;6191 Feldkassel               ;Robert-Bosch-Straße 6         ;in Fahrtrichtung Merianstraße      ;   
6192;50;50;6192 Rodenkirchen             ;Friedrich-Ebert-Str.ggü.Lat.25;in Fahrtrichtung Römerstraße       ;   
6193;50;50;6193 Rodenkirchen             ;Friedrich-Ebert-Str.ggü.Lat.25;in FR. Zum Forstbotanischen Garten ;   
6194;30;30;6194 Marienburg               ;Heinrich-Lübke-Ufer Laterne 22;in Fahrtrichtung Frankstraße       ;   
6195;30;30;6195 Marienburg               ;Heinrich-Lübke-Ufer Laterne 22;in Fahrtrichtung Oberländer Ufer   ;   
6196;30;30;6196 Neustadt-Nord            ;Hohenzollernring 55           ;in Fahrtrichtung Rudolfplatz       ;   
6197;30;30;6197 Neustadt-Nord            ;Hohenzollernring 55           ;in Fahrtrichtung Friesenplatz      ;   
6198;50;50;6198 Deutz                    ;Zoobrücke, Laterne Nr.2       ;in Fahrtrichtung stadtauswärts     ;   
6199;50;50;6199 Kalk                     ;B55a, Laterne Nr.32           ;in Fahrtrichtung stadteinwärts     ;   
6200;50;50;6200 Niehl                    ;Boltensternstraße Lat.99-101  ;in Fahrtrichtung Industriestraße   ;   
6201;50;50;6201 Niehl                    ;Boltensternstraße Lat.99-101  ;in Fahrtrichtung Mülheimer Brücke  ;   
6202;50;50;6202 Chorweiler               ;Mennweg vor Einfahrt Feldweg  ;in Fahrtrichtung Hitdorfer Fährweg ;   
6203;50;50;6203 Chorweiler               ;Mennweg vor Einfahrt Feldweg  ;in Fahrtrichtung Industriestraße   ;   
6204;50;50;6204 Chorweiler               ;Hitdorfer Fährweg 84          ;in Fahrtrichtung Langeler Damm     ;   
6205;50;50;6205 Chorweiler               ;Hitdorfer Fährweg 84          ;in Fahrtrichtung Mennweg           ;   
6206;50;50;6206 Rodenkirchen             ;Industriestraße Laterne 11-13 ;in Fahrtrichtung Sürth             ;   
6207;50;50;6207 Rodenkirchen             ;Industriestraße Laterne 11-13 ;in FR. Zum Forstbotanischen Garten ;   
6208;30;30;6208 Immendorf                ;Vor dem Dorf Höhe Am Moosberg ;in Fahrtr. Immendorfer Hauptstraße ;   
6209;30;30;6209 Immendorf                ;Vor dem Dorf Höhe Am Moosberg ;in Fahrtrichtung Giesdorfer Allee  ;   
6210;50;50;6210 Rodenkirchen             ;Weißer Straße Höhe Haus 16a   ;in Fahrtrichtung Hauptstraße       ;   
6211;50;50;6211 Rodenkirchen             ;Weißer Straße Höhe Haus 16a   ;in Fahrtrichtung Siegfriedstraße   ;   
6212;50;50;6212 Rodenkirchen             ;Weißer Straße Höhe Haus 17    ;in Fahrtrichtung Hauptstraße       ;   
6213;50;50;6213 Rodenkirchen             ;Weißer Straße Höhe Haus 17    ;in Fahrtrichtung Siegfriedstraße   ;   
6214;30;30;6214 Esch                     ;Chorbuschstraße 31            ;in Fahrtrichtung Am Baggerfeld     ;   
6215;30;30;6215 Esch                     ;Chorbuschstraße 31            ;in Fahrtrichtung Auf dem Driesch   ;   
6216;30;30;6216 Roggendorf               ;Straberger Weg Höhe Laterne 6 ;in Fahrtrichtung Stadtauswärts     ;   
6217;30;30;6217 Roggendorf               ;Straberger Weg Höhe Laterne 6 ;in Fahrtrichtung Sinnersdorfer Str.;   
